Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.932283173126,8.13826067647,0.0,7.68123269292,0.0,0.21148956719,0.21148956719,0.21148956719,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428518493968
 01/01  02:00:00,0.810030559687,8.38331007629,0.0,8.019834309,0.0,0.220812381913,0.220812381913,0.220812381913,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337226037089
 01/01  03:00:00,0.765993765201,8.61319761412,0.0,8.27571249695,0.0,0.22785754893,0.22785754893,0.22785754893,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311539731665
 01/01  04:00:00,0.759928175945,8.89521228995,0.0,8.55126342294,0.0,0.235444371047,0.235444371047,0.235444371047,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318368695138
 01/01  05:00:00,0.761923986977,9.12005002161,0.0,8.70302546358,0.0,0.23962287853,0.23962287853,0.23962287853,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392410680571
 01/01  06:00:00,0.818077305002,9.45791855252,0.0,8.72021936672,0.0,0.240096283162,0.240096283162,0.240096283162,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710232076808
 01/01  07:00:00,1.04002880905,9.8072305547,0.0,8.46822763658,0.0,0.233158123094,0.233158123094,0.233158123094,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30726737474
 01/01  08:00:00,1.3651203077,9.84583935432,0.0,8.33210600239,0.0,0.229410247375,0.229410247375,0.229410247375,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48001195939
 01/01  09:00:00,1.32926613049,9.75951971816,0.0,8.28329579924,0.0,0.228066342152,0.228066342152,0.228066342152,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44771442933
 01/01  10:00:00,1.1606887298,9.61136603526,0.0,8.26687575105,0.0,0.227614244289,0.227614244289,0.227614244289,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32022640316
 01/01  11:00:00,1.18239225112,10.3810467429,0.0,9.19282445961,0.0,0.253108653773,0.253108653773,0.253108653773,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16338775588
 01/01  12:00:00,1.1616503298,8.83268545902,0.0,7.78841436377,0.0,0.214440630657,0.214440630657,0.214440630657,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01942895927
 01/01  13:00:00,1.13039458734,8.31549253437,0.0,7.38061233145,0.0,0.203212501168,0.203212501168,0.203212501168,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910456540901
 01/01  14:00:00,1.09934723837,8.06333135706,0.0,7.19580454826,0.0,0.198124135843,0.198124135843,0.198124135843,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.842258590246
 01/01  15:00:00,1.09090610019,7.72357430773,0.0,6.91864246206,0.0,0.190492953194,0.190492953194,0.190492953194,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.778240815652
