Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.957221994045,3.7528848599,0.0,3.72491748152,0.0,0.0955973072766,0.0955973072766,0.0955973072766,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.786206513354,4.43809733516,0.0,4.41234674658,0.0,0.112241443356,0.112241443356,0.112241443356,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844154478
 01/01  03:00:00,0.73135548929,4.91456905973,0.0,4.8891170287,0.0,0.123426794586,0.123426794586,0.123426794586,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441746633
 01/01  04:00:00,0.734901046806,5.42978045972,0.0,5.40468669775,0.0,0.135858308997,0.135858308997,0.135858308997,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072608194
 01/01  05:00:00,0.794373184676,5.94106544222,0.0,5.91691960047,0.0,0.148216132339,0.148216132339,0.148216132339,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137200611
 01/01  06:00:00,1.06631984126,6.19355429289,0.0,6.16660947412,0.0,0.153773574093,0.153773574093,0.153773574093,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635098071
 01/01  07:00:00,1.70224533063,6.87357863291,0.0,6.84244654452,0.0,0.170452404596,0.170452404596,0.170452404596,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252605
 01/01  08:00:00,2.11968010661,6.34155231787,0.0,6.30847214147,0.0,0.156344399249,0.156344399249,0.156344399249,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255574
 01/01  09:00:00,2.05848684569,6.1265073082,0.0,6.09853992983,0.0,0.150374594707,0.150374594707,0.150374594707,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306506987
 01/01  10:00:00,1.80279479795,5.64961351855,0.0,5.62581101798,0.0,0.138689569655,0.138689569655,0.138689569655,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428685173
 01/01  11:00:00,1.71403417922,6.30917567061,0.0,6.28481337464,0.0,0.156743565518,0.156743565518,0.156743565518,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958451915
 01/01  12:00:00,1.60516896593,5.0314978425,0.0,5.00712808259,0.0,0.124646634344,0.124646634344,0.124646634344,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266170929
 01/01  13:00:00,1.49516316012,4.29726599729,0.0,4.27330675401,0.0,0.107068781686,0.107068781686,0.107068781686,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.47575017
