Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.01539033356,6.33026935072,0.0,6.30230197235,0.0,0.153765646791,0.153765646791,0.153765646791,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465518
 01/01  02:00:00,0.833409231161,6.55285742152,0.0,6.52710683294,0.0,0.159444166465,0.159444166465,0.159444166465,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101464
 01/01  03:00:00,0.770939641883,6.68977863323,0.0,6.6643266022,0.0,0.163010948287,0.163010948287,0.163010948287,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.763500765651,6.74189949919,0.0,6.71680573722,0.0,0.164458066502,0.164458066502,0.164458066502,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072221591
 01/01  05:00:00,0.812317568857,6.80929408394,0.0,6.78514824219,0.0,0.166160533661,0.166160533661,0.166160533661,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137183471
 01/01  06:00:00,1.07408143302,6.619062121,0.0,6.59211730223,0.0,0.161535169503,0.161535169503,0.161535169503,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094426
 01/01  07:00:00,1.68664102954,6.36206351576,0.0,6.33093142737,0.0,0.154848103607,0.154848103607,0.154848103607,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252498
 01/01  08:00:00,2.13107002426,6.89310048654,0.0,6.86002031014,0.0,0.167734316904,0.167734316904,0.167734316904,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255568
 01/01  09:00:00,2.05336280653,5.96963776375,0.0,5.94167038538,0.0,0.145250574316,0.145250574316,0.145250574316,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.79021866327,5.19509404567,0.0,5.1712915451,0.0,0.126113438476,0.126113438476,0.126113438476,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.69053235422,5.44620857698,0.0,5.42184628101,0.0,0.133241744699,0.133241744699,0.133241744699,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.57050312924,3.70840798421,0.0,3.6840382243,0.0,0.0899808053265,0.0899808053265,0.0899808053265,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266163248
