Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.01905507612,11.2867047503,0.0,10.8327601511,0.0,0.298261470187,0.298261470187,0.298261470187,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.425435109613
 01/01  02:00:00,0.896556980699,11.5221268996,0.0,11.1624459409,0.0,0.307338802924,0.307338802924,0.307338802924,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.333431228521
 01/01  03:00:00,0.856183916754,11.885536796,0.0,11.5513896374,0.0,0.318047700484,0.318047700484,0.318047700484,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.308201773059
 01/01  04:00:00,0.847691516818,12.0795778465,0.0,11.7387995842,0.0,0.323207711919,0.323207711919,0.323207711919,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315198090415
 01/01  05:00:00,0.842322769783,12.0366444007,0.0,11.6230832573,0.0,0.320021661336,0.320021661336,0.320021661336,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.388947266015
 01/01  06:00:00,0.895628176806,12.2709771606,0.0,11.5368419537,0.0,0.317647154965,0.317647154965,0.317647154965,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.706668097869
 01/01  07:00:00,1.13451240646,13.2355243866,0.0,11.8998413424,0.0,0.327641720509,0.327641720509,0.327641720509,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30394750078
 01/01  08:00:00,1.43642698293,12.432004084,0.0,10.9219413893,0.0,0.300716922614,0.300716922614,0.300716922614,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47634130217
 01/01  09:00:00,1.40217802164,12.4044122165,0.0,10.9314321092,0.0,0.300978233307,0.300978233307,0.300978233307,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44447061773
 01/01  10:00:00,1.22104034968,11.8000908373,0.0,10.4588270698,0.0,0.28796586417,0.28796586417,0.28796586417,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31699988646
 01/01  11:00:00,1.24591632768,12.6853008998,0.0,11.4999983789,0.0,0.316632730329,0.316632730329,0.316632730329,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16046799354
 01/01  12:00:00,1.20745648181,10.4934272983,0.0,9.45207899256,0.0,0.260246782659,0.260246782659,0.260246782659,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01650616974
 01/01  13:00:00,1.16571375774,9.59601110058,0.0,8.66339317978,0.0,0.238531671574,0.238531671574,0.238531671574,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908194258785
 01/01  14:00:00,1.12571254763,9.01907882794,0.0,8.15338405516,0.0,0.224489445106,0.224489445106,0.224489445106,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840426554221
 01/01  15:00:00,1.11721133914,8.67702090767,0.0,7.87404023457,0.0,0.216798192142,0.216798192142,0.216798192142,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.776289643091
 01/01  16:00:00,1.18840165306,8.70349834182,0.0,7.89182329225,0.0,0.217287818134,0.217287818134,0.217287818134,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.783500339148
 01/01  17:00:00,1.46233616702,9.15482963893,0.0,8.25560769642,0.0,0.227303997732,0.227303997732,0.227303997732,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.865896198079
 01/01  18:00:00,1.99369665665,10.8277525675,0.0,9.7589863012,0.0,0.268696948988,0.268696948988,0.268696948988,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02828081285
 01/01  19:00:00,2.30495016705,9.79398108882,0.0,8.56300973152,0.0,0.235767785506,0.235767785506,0.235767785506,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18701637429
 01/01  20:00:00,2.26782651121,9.75369569626,0.0,8.48768493536,0.0,0.233693846442,0.233693846442,0.233693846442,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22064057504
 01/01  21:00:00,2.12104837135,9.9902191806,0.0,8.809253496,0.0,0.242547685198,0.242547685198,0.242547685198,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13403573217
 01/01  22:00:00,1.96492288729,10.4532375288,0.0,9.38963673558,0.0,0.258527542215,0.258527542215,0.258527542215,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.0177664817
