Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachussetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2015,9.33,17.59,10.34,8.19,15.42,9.94,17.77,11.17,10.49,9.62,26.17,8.09,9.40,8.99,8.35,10.14,8.14,7.65,12.78,12.07,16.90,10.76,9.53,9.53,9.44,8.90,8.91,9.48,16.02,13.74,9.62,15.28,9.37,8.75,9.98,7.90,8.75,10.31,17.01,9.58,9.47,9.30,8.70,8.54,14.41,9.31,7.40,8.11,10.73,7.97
2016,9.06,17.67,9.72,7.35,15.49,9.34,16.25,10.85,10.19,9.35,26.29,7.61,9.15,8.75,8.58,10.42,7.91,6.87,11.69,11.73,15.46,10.48,9.79,9.26,9.70,8.37,9.15,8.91,14.65,14.03,9.04,15.61,9.10,8.99,9.72,7.09,8.79,10.53,15.56,9.31,9.73,9.03,7.81,8.03,13.18,9.05,7.43,7.88,10.45,7.49
2017,9.00,17.74,9.80,7.35,15.55,9.42,16.50,10.99,10.32,9.47,26.39,7.67,9.18,8.78,8.51,10.34,7.85,6.87,11.86,11.88,15.69,10.50,9.72,9.20,9.62,8.43,9.08,8.98,14.87,14.23,9.12,15.83,9.22,8.92,9.74,7.09,8.82,10.68,15.79,9.43,9.65,8.97,7.81,8.09,13.38,9.16,7.46,7.98,10.47,7.55
2018,8.87,17.53,9.37,7.02,15.37,9.01,14.19,11.53,10.83,9.93,26.08,7.33,9.15,8.75,8.08,9.81,7.74,6.56,10.20,12.46,13.49,10.47,9.22,9.06,9.13,8.06,8.62,8.59,12.79,14.75,8.72,16.40,9.67,8.46,9.71,6.77,8.72,11.06,13.58,9.89,9.16,8.84,7.46,7.74,11.51,9.61,7.37,8.37,10.44,7.22
2019,8.86,17.53,9.39,7.23,15.37,9.03,14.45,11.77,11.06,10.14,26.08,7.35,9.28,8.88,8.00,9.72,7.73,6.76,10.39,12.72,13.75,10.62,9.13,9.05,9.05,8.08,8.54,8.61,13.03,15.28,8.74,16.99,9.88,8.38,9.85,6.98,8.72,11.46,13.83,10.10,9.07,8.83,7.68,7.76,11.72,9.81,7.38,8.55,10.59,7.24
2020,8.92,17.70,9.52,7.62,15.52,9.16,14.00,12.07,11.33,10.39,26.33,7.45,9.47,9.06,8.00,9.71,7.79,7.11,10.07,13.04,13.31,10.84,9.13,9.12,9.04,8.20,8.53,8.73,12.62,15.81,8.86,17.59,10.12,8.38,10.06,7.35,8.80,11.87,13.40,10.35,9.07,8.90,8.09,7.87,11.35,10.06,7.45,8.76,10.81,7.34
2021,8.88,17.97,9.67,7.71,15.75,9.30,13.96,12.16,11.42,10.47,26.73,7.57,9.60,9.18,8.02,9.74,7.75,7.20,10.04,13.13,13.28,10.99,9.16,9.07,9.07,8.33,8.56,8.87,12.59,16.15,9.00,17.96,10.20,8.41,10.20,7.44,8.94,12.12,13.36,10.43,9.10,8.85,8.19,7.99,11.32,10.13,7.56,8.83,10.96,7.46
2022,8.98,18.50,9.94,7.93,16.21,9.56,14.54,12.55,11.79,10.81,27.52,7.78,9.84,9.41,8.18,9.93,7.84,7.41,10.45,13.56,13.83,11.26,9.33,9.18,9.24,8.56,8.72,9.11,13.11,16.92,9.25,18.82,10.53,8.57,10.45,7.65,9.20,12.70,13.92,10.76,9.27,8.95,8.43,8.21,11.79,10.46,7.78,9.11,11.23,7.66
2023,8.94,19.45,10.14,7.94,17.05,9.75,15.09,12.66,11.89,10.91,28.94,7.93,10.04,9.60,8.28,10.06,7.80,7.41,10.85,13.68,14.35,11.49,9.45,9.13,9.36,8.73,8.84,9.30,13.60,17.28,9.43,19.22,10.62,8.68,10.65,7.66,9.68,12.97,14.44,10.86,9.39,8.91,8.43,8.38,12.24,10.55,8.18,9.19,11.46,7.82
2024,8.91,19.39,10.10,7.89,17.00,9.71,15.45,12.65,11.88,10.89,28.85,7.91,10.06,9.62,8.21,9.98,7.78,7.37,11.11,13.66,14.69,11.52,9.38,9.10,9.29,8.70,8.77,9.26,13.93,17.52,9.40,19.49,10.61,8.61,10.68,7.61,9.65,13.15,14.79,10.85,9.32,8.88,8.38,8.34,12.53,10.54,8.16,9.18,11.49,7.79
